,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
48,The Tabby Whistle =D,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
51,ContraPoints For President! [?][?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
60,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
178,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
203,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
363,'Where's my *toad* venom?',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
443,thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
568,What do I do with the gold on my fingers?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
572,you are amazing!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
820,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
832,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
853,i love this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
893,Great video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
931,I love you <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
935,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
945,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
971,"ContraPoints, I love you :)",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1092,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1112,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1167,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1264,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1281,It's a (((trap))),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1289,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1339,Freya is hot,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1419,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1544,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1581,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1599,Unsubscribed!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1603,Excellent video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1729,Where's my toad venom.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1856,great video! <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1882,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1893,-> URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1916,Great video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1956,Great Video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1984,Black Lives Matter.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2264,love this!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
