,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
45,what a beta cuck,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
125,This guy is such a badass for juicing like everyday.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
188,*surprise flex*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
227,Cuck,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
561,That was amazing,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
570,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
605,Great Video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
703,'Don't allow nationalism to gain traction in Europe' so it can freely gain traction anywhere else right? Do you know about the Ottoman Empire and what is currently happening in Turkey with Erdogan. A lot of Turks in my European country support him. Make a video about that please! He's not white but surely nationalism is also bad when brownies and blacks do it right?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
783,Surprise flex.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
835,Excellent video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
910,Surprise Flex.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1034,*SURPRISE FLEX*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1248,Surprise flex ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1280,surprise flex,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1344,<3 Mendelsohn,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1744,I love you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2019,Good stuff!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2083,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2204,good vid,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2293,Great video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
