,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
10,Yes they do.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
135,Yes they do,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
179,"Thank you, Natalie, for standing up for us bronies :')",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
195,"I didn't like that you used an always sunny clip in your rape culture vid, but this is great. However, you missed the opportunity to use the clip of Mac talking to the Carmen about her penis in your vid discussing 'girl penis' and 'mouthfeel'",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
202,brilliant,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
231,yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
238,nice clockwork orange reference,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
275,"So how about a libertarian point: Your private tavern can restrict what they want, 4 Chan can protect their boards if they feel like that, but all of those rules were privately agreed on by using 4 Chan or by going into the tavern. Government rules are forced onto everyone by the majority of the voting population. That's why all rules forced onto us should be the non aggression principle.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
303,I like the sound that it makes too !!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
308,BEHOLDING MANY SIGHTS THOUGH BLIND TO SIGNS,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
393,You're a goddess!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
404,That poor cucumber,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
484,'no racism' rule on 4chan LMAO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
601,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
693,Vitality is the milk of the wolf,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
899,I love the Clockwork Orange reference,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
929,Nice bewbs! :D,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1166,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1244,YES.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1298,Beholdingman  Sightstho Ghblindtosigns,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1345,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1445,YES!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1458,Nice clockwork orange reference.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1465,ily,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1519,BEHOLDING MANY SIGHTS THOUGH BLIND TO SIGNS,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1546,Yay!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1647,"Just, thank you ! <3",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1792,Yes. Yes. Yes. Yes!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1942,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1950,that fucking doll...,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1973,Gender does not work that way,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1975,Gender does not work that way,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2006,cool,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2030,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2037,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2041,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2186,Thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2525,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2551,I fucking love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2554,I love your top :),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2995,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
