,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
140,wow...,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
215,thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
304,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
344,"Such a brave, well thought out and presented video. Thank you for making this as now I have a resource I can use when people make similar accusations about me",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
369,I love you so much...,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
374,I sleep in a bra,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
535,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
623,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
640,You are amazing.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
653,You're awesome.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
684,"'Men's bodies are great. They have great hands, great abs, great this part...' ",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
775,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
914,great video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
918,You're amazing,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
931,Masterpiece.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
985,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1079,badass,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1118,  URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1207,Amazing video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1372,P.s. I love you Natalie,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1469,Ily,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1492,You're amazing.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1657,Dost thou bleed?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1718,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1857,Thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1880,I FIND OUT LATER SHE IS FROM BELIZE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1884,I sleep in a bra!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1936,You're amazing,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1947,You're amazing!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2049,I'm in love with you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2131,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2146,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2195,Thank you <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2206,love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2241,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2419,I LOVE YOU!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2764,Thank you ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2873,Thank you for making this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2877,Wow ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3011,thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3087,Thank you for making this.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3120,When you hope that all the theoretical underpinning of this sh*t is decades old when we didn't know ny better but it actually is based on a book from only 15 years ago.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3295,great video! keep it up,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3398,Amazing video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3588,Great video :),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3696,Beautiful,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3757,I'm in love with you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3926,Love you <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3992,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
