,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
43,TRY THE WINE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
55,Casual! [?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
127,TRY THE WINE!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
167,'TRY the WINE' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
188,'I will feel nothing' and the blues coming in like ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
304,"Never, ever thought I'd be turned on by someone eating oysters.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
327,CASUAL!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
334,BANG!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
407,TRY THE WINE!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
409,Lost it every time you said 'BANG'...,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
415,I think I'm in love with you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
474,*casual*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
488,'...and I'm a Kafka fan!',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
536,when u called kierkegaard a 'boring white weirdo' THATS THE TRUTH TEA,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
643,BANG!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
656,I am very worried about your shucking technique however....baby take care!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
664,BANG,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
773,BANG,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
