,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
19,Eat the rich.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
169,Smash,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
187,Nothing!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
207,Revolution!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
224,what's a tankie?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
228,Vitalimax! For bottoms.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
285,*contains soy*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
415,Capitalism is great.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
436,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
439,YOU ARE AMAZING,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
448,Richard Spencer is a leftist,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
460,Fill me up ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
542,Nothing.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
646,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
663,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
670,Brilliant.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
780,Thank YOU!!!!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
804,"Baby, I'm sahry!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
913,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
915,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
917,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
919,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
923,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
925,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
927,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
929,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
931,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
933,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1070,I think i love you ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1190,"I love you, Contra.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1251,17:19,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1426,I fucking love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1668,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1694,HAVE YOU READ GRINDELWALD???,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1725,eat the rich,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1788,(((REPTILES))),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1865,'Coffee shop MacBook person!' <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1870,Brilliant.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1886,Brilliant,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1906,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1990,I  Tabby,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2024,Damn you're good.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2055,i love you <3 <3 <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2072,Awesome~,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2084,GOD I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2095,DAEMONETTE OF SLAANESH!!!!!!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2350,brilliant,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2386,Smash,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2407,NAZBOL GANG!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2419,part 2 ??,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2537,I want part 2,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2557,(((reptiles))),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2627,Nothing,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2636,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2675,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2812,Smash?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2853,Thank you! <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2889,(((reptiles))),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2909,"While I think this video is an excellent opening to a discussion that needs to be had and good at informing the many undecided angry youth, but using reptiles is maybe not the best idea, because it's an antisemitic dogwhistle",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2920,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3021,Vitalimax ! For BOttoms !,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3045,'for bottoms~!',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3128,*contains soy,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3203,You are amazing,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3231,'Have you read Grindelwald?',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3323,This is a little off topic and random but your singing is awesome <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3407,"You really smashed it in this video, great job!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3435,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3543,Someone's been watching Adam Curtis.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3564,I Love You,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3578,Awesome,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3605,Smash,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3768,Eat the lizards.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3873,YESSS :),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3979,nothing,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4042,smash? :3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
