,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
6,NO TALL DICK,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
45,Well Done,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
97,Roosh took the bread pill,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
118,tranny,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
126,Why is no one talking about the chad circumference?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
138,Thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
229,Masterpiece.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
362,This is such a good video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
365,"Thank you, Skull-People, for showing me the way.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
371,I think I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
493,"I HAVE A REAL SOLUTION TO INCELS ONCE AND FOR ALL, AND IT ACTUALLY WORKS!  PLEASE SPREAD THE WORD BY LIKING THIS COMMENT. OR REACH OUT TO INCELS PERSONALLY AND LET THEM KNOW.   THEY NEED JESUS!!! GOD LOVES THEM UNCONDITIONALLY WHETHER WOMEN DO OR NOT! GOD DOES NOT JUDGE THEM BASED ON THE SHAPE OF THEIR SKULL NOR THE HEIGHT OF THEIR BODY!!  THERE IS HOPE! SPREAD THE GOOD NEWS!!!!!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
505,Jesus f***,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
572,This is art,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
578,i think i'm in love.  :),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
584,No......,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
585,you are amazing,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
763,I love your style. <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
866,I'm in love with you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
876,This video is a masterpiece,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
893,This is my new favorite channel  ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
897,The manosphere exists because rock and roll is dead,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
936,"'Hi Stacy, it's Tracy' !!!!!!!!!!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
973,The chad circumference,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
996,'Grab them by their black ops t shirts' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1010,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1097,You are gorgeous [?][?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1109,Natalie I'm in love with you ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1112,I wanna fuck the ocean.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1134,thank you skull people,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1239,wow great video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1281,ABIGAIL LEAVE MY FUCKHOLE OUT OF THIS,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1380,Bravo!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1397,You ARE a gorgeous goddess.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1402,THE MANOSPHERE EXISTS BECAUSE ROCK N ROLL IS DEAD,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1437,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1463,seacel?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1478,CHADS OF COLOR,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1553,Excellent video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1598,BREAD SCIENTIST!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1678,You are a gorgeous goddess! <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1688,Love this video!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1714,#notalldick,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1722,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1754,You are beautiful <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1764,Fifth base.................(whispers) anal   ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1830,this is a brilliant video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1886,I love this. So much.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1900,Great video. Thank you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1917,Subbed!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2002,What the fuck did I just watch?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2049,Please marry me,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2150,Is she trans?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2223,Thank you for this video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2270,'Chadpreet' lmao,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
