,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
47,maximum cuckoldry,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
56,MORE COWBELL! =^~^=,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
113,MORE COWBELL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
181,Hi,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
243,0/10 not enough cowbell.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
291,More cowbell!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
377,HAI.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
383,"I love,, the,, outfit",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
485,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
493,More Cowbell!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
505,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
726,More cowbell!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
758,Hai,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
835,Needs more cowbell,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
856,Hai!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
960,I love you Contrapoints. ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1014,Lol,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1069,MAXIMUM CUCKOLDRY,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1088,More cowbell!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1144,More cowbell...,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1196,Cuck.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1370,subscribed.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1389,HBomberguy!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1424,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1531,i love you !!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1609,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1710,More Cowbell! !!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1724,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1737,Maximum cuckoldry.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1823,Subscribed.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1955,hai. ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1975,needs more cowbell,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2010,Needs more cowbell....,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2051,MORE COWBELL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2056,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
