,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
7,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
121,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
361,"This shows that you have a philosophical temperament, and not just an interest in academic philosophy, because you are sincere and open-minded enough to change your view even without being pressured by others to do so.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
