,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
9,It's fucking 2017 man ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
179,Good thing I inhaled all that gas,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
210,Just found your channel and I'm obsessed!! Thank you for science and also art and also being who you are <3 Your videos helped diminish my gender dysphoria SOOOOO much today xoxo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
345,"Drink, DRINK!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
646,Gender is a spook,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
687,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1009,Amazing.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
