,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
36,Brilliant,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
90,'You look like your mom dropped you off at a Green Day concert in 2003.',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
99,Bash the fash,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
290,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
482,Great video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
766,This is actually a really clever video. I have these kinda internal debates with myself all the time. Maybe I'll make one.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
866,Great video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1135,BASH THE FASH,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1170,Brilliant.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
