,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
22,'Is Trump Racist?'   Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
137,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
156,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
240,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
282,heebeejabis,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
296,yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
342,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
439,Spider lives matter!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
632,omg. this was hilarious! I've missed your videos so much. thank you for posting!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
