,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
50,REASON WILL PREVAIL!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
53,Fuck this waffle,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
134,It's Okay to be White.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
230,Sk sk sk sk sk sk,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
372,FUCK THIS WAFFLE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
379,Fuck this waffle :D :D,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
470,REASON WILL PREVAIL!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
502,Fuck that waffle.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
608,Subscribed.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
624,*Fuck this waffle.*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
884,Fuck This Waffle,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1011,Lusty Argonian Maid,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1067,#FreeTheNipple,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1165,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1328,Reason Will Prevail!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1347,Haven't played Skyrim in a loooong time but now I kinda wanna make a character and have them in a gay Nord-Argonian relationship.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1349,Haven't played Skyrim in a loooong time but now I kinda wanna make a character and have them in a gay Nord-Argonian relationship.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1411,I LOVE YOU CONTRA,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1449,'Fuck this waffle!',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1703,(((I))) Love (((You))),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
