,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
88,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
90,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
176,"the solution, as it always is, is to ban white people",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
208,but I like stuff :c,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
297,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
315,BREAD MOM,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
331,'Sometimes. . . things that are expensive. . . are worse.',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
371,I'm a filthy filthy Q!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
383,Degenerate,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
470,CATGIRLS OF THE WORLD UNITE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
492,2:44,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
519,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
520,My problem with people complaining about capitalism is that while everyone can point out the flaws in capitalism no one can give solutions so it's just people complaining,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
570,i like stuff too,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
612,amazing !!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
627,Brilliant.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
719,"The solution, as it always is, is to ban white people.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
743,'Tatiana Tankikova',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
796,Pizzas in Africa could have eaten those children how dare you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
813,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
815,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
817,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
902,Goldberg variations <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1051,I like stuff too.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1280,Funny how she played bikini kill in this vid,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1360,Zarathustra,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1370,I make the videos. I swipe the card.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1381,"damn, i love you.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1452,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1525,BRILLIANT!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1714,Goldberg variations !!!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1739,Pizzas in Africa could have eaten those children how dare you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1768,I love you Contra!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1930,"'Fully automated, luxury, gay space communism'.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1949,Brilliant.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
