,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
1,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
10,Dick Umami,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
29,Congratulations! You're a breeder,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
154,victroy,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
168,what the fuck,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
258,I'm in love,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
305,I learned a lot from this. Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
404,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
408,ConTRAPoints :^),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
412,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
550,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
554,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
582,You're a man!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
675,traps are gay lel,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
691,"Heres that quote again....''Never forget what you are, the rest of the world will not. Wear it like armor and it can never be used to hurt you.' ...Its very important. You can claim til you are blue in the face that a penis on a TW is female but many people will not agree. . In fact there is nothing more male than a penis. TW have penises because they were born male. What is so bad about this? Why try and deny it? By trying to get people to accept something which they simply dont think is true, you make yourself look illogical, dishonest and kind of manipulative. Plus, there is much to be said about smell. The olfactory sense is vastly underestimated. Theres a theory that we find people attractive who actually have complimentary genes to our own, to make the strongest offspring. Its why you can find someone very attractive online, but once you meet them you can be immediately turned off.... its entirely possible that a human nose can detect chromosomes, albeit unconsciously. I dont think a man attracted to a TW can be described as gay. TW are not men. We need a new word...Trans attracted is a bit of a mouthful... To sum up, if you really want to get people onside, dont claim things that arent true. You are a transwoman. Whats SO wrong about accepting and celebrating that?.... Accepting what you are is very important. There seems to be a lot of competitiveness amongst TW concerning passing and attracting men..leading to this obsession with being a 'real' woman. Theres nothing wrong with being trans ...And with telling the world you are trans, and accepting that not all men find TW a turn on.We cannot help what we are attracted to.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
693,"Heres that quote again....''Never forget what you are, the rest of the world will not. Wear it like armor and it can never be used to hurt you.' ...Its very important. You can claim til you are blue in the face that a penis on a TW is female but many people will not agree. . In fact there is nothing more male than a penis. TW have penises because they were born male. What is so bad about this? Why try and deny it? By trying to get people to accept something which they simply dont think is true, you make yourself look illogical, dishonest and kind of manipulative. Plus, there is much to be said about smell. The olfactory sense is vastly underestimated. Theres a theory that we find people attractive who actually have complimentary genes to our own, to make the strongest offspring. Its why you can find someone very attractive online, but once you meet them you can be immediately turned off.... its entirely possible that a human nose can detect chromosomes, albeit unconsciously. I dont think a man attracted to a TW can be described as gay. TW are not men. We need a new word...Trans attracted is a bit of a mouthful... To sum up, if you really want to get people onside, dont claim things that arent true. You are a transwoman. Whats SO wrong about accepting and celebrating that?.... Accepting what you are is very important. There seems to be a lot of competitiveness amongst TW concerning passing and attracting men..leading to this obsession with being a 'real' woman. Theres nothing wrong with being trans ...And with telling the world you are trans, and accepting that not all men find TW a turn on.We cannot help what we are attracted to.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
694,"Heres that quote again....''Never forget what you are, the rest of the world will not. Wear it like armor and it can never be used to hurt you.' ...Its very important. You can claim til you are blue in the face that a penis on a TW is female but many people will not agree. . In fact there is nothing more male than a penis. TW have penises because they were born male. What is so bad about this? Why try and deny it? By trying to get people to accept something which they simply dont think is true, you make yourself look illogical, dishonest and kind of manipulative. Plus, there is much to be said about smell. The olfactory sense is vastly underestimated. Theres a theory that we find people attractive who actually have complimentary genes to our own, to make the strongest offspring. Its why you can find someone very attractive online, but once you meet them you can be immediately turned off.... its entirely possible that a human nose can detect chromosomes, albeit unconsciously. I dont think a man attracted to a TW can be described as gay. TW are not men. We need a new word...Trans attracted is a bit of a mouthful... To sum up, if you really want to get people onside, dont claim things that arent true. You are a transwoman. Whats SO wrong about accepting and celebrating that?.... Accepting what you are is very important. There seems to be a lot of competitiveness amongst TW concerning passing and attracting men..leading to this obsession with being a 'real' woman. Theres nothing wrong with being trans ...And with telling the world you are trans, and accepting that not all men find TW a turn on.We cannot help what we are attracted to.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
695,"Heres that quote again....''Never forget what you are, the rest of the world will not. Wear it like armor and it can never be used to hurt you.' ...Its very important. You can claim til you are blue in the face that a penis on a TW is female but many people will not agree. . In fact there is nothing more male than a penis. TW have penises because they were born male. What is so bad about this? Why try and deny it? By trying to get people to accept something which they simply dont think is true, you make yourself look illogical, dishonest and kind of manipulative. Plus, there is much to be said about smell. The olfactory sense is vastly underestimated. Theres a theory that we find people attractive who actually have complimentary genes to our own, to make the strongest offspring. Its why you can find someone very attractive online, but once you meet them you can be immediately turned off.... its entirely possible that a human nose can detect chromosomes, albeit unconsciously. I dont think a man attracted to a TW can be described as gay. TW are not men. We need a new word...Trans attracted is a bit of a mouthful... To sum up, if you really want to get people onside, dont claim things that arent true. You are a transwoman. Whats SO wrong about accepting and celebrating that?.... Accepting what you are is very important. There seems to be a lot of competitiveness amongst TW concerning passing and attracting men..leading to this obsession with being a 'real' woman. Theres nothing wrong with being trans ...And with telling the world you are trans, and accepting that not all men find TW a turn on.We cannot help what we are attracted to.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
719,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
731,love u natalie,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
754,thanks.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
770,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
830,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
908,Count Dankula did nothing wrong.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
929,Yes they are.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
930,GAY,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
956,Natalie I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
979,"but,, what about the mOUTH FEEL",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1001,a friend recommended i watch this video. it was very informative.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1016,Answer: yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1027,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1029,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1031,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1033,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1035,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1037,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1039,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1041,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1043,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1237,They are gay,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1251,Is that Astolfo in the background?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1259,I love you.  .,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1395,Yes?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1426,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1478,They are.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1500,16:22 Yes ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1504,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1633,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1685,thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1716,Wow ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1718,Love this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1814,Thank you for making this.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2059,protect trans women of color at all costs,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2116,"Love you, girl <3",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2150,I SHALL BE THE QUEEN OF DAIRY,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2169,"[constructive criticism]  As someone who is bi, and has been with trans people before, there is something inherently homosexual about it, HOWEVER people's sexual preferences can be changed, and people regularly change their tastes in attraction. It is still important to discuss this matter, as for many it helps them to explore the less than heterosexual side of themselves, allowing for further acceptance of trans people into society.  The problem isn't masculinity inherently, but rather projected insecurity, I've personally witnessed hetro women getting worked up on the idea that I also screw dudes, we should aim to kill off all assholes with mannered reasonability, not straw-manning people like this^^^^. Masculinity is a great thing to be on the receiving end of, and to be, or simply to witness in its positive aspects, if you hate masculinity or femininity then it says more about your insecurities than the personality type, same could be said for hatred of gays.   ps. TELL THEM YOU HAVE A DICK OR VAG IF ITS NOT OBVIOUS! you should give your sex partner a pleasurable surprise, not a bewildered surprise. yes it sucks to get rejected, but if you are basing your identity and self-esteem on someone else wanting to fuck you or not...that's dumb... don't do that... stop it... shut up your dumb brain",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2180,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2248,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2251,Short answer: yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2309,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2322,Amazing video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2374,Yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2409,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2414,I love you contra,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2442,You will always be a man,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2472,the mouthfeel,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2478,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2490,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2533,yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2741,You pop.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2745,thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2752,QUEEN ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2786,i love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2811,"I love you, Natalie",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2919,"Short answer: traps are gay. You are a guy,  you like dick,  whether it's a guy with a dick,  a guy who had his dick cut off and now has a scar he calls a vagina or a guy who pretends he's a girl but has a dick,  all three make a guy.... *trumpets gay*. / discussion.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2924,yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3298,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3395,Yes,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3401,I love you I love you I love you I love you I love you I love you I love you I love you I love you I love you I love you I love you I love you I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3426,Contrapoints for president?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
