,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
39,all you can eat birth control,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
47,"THE DRUGS, CHESTERTON! *THE DRUGS!*",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
187,Love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
340,FURRIES,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
432,"The DRUGS, CHESTERTON!! THE DRUGS!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
485,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
495,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
