,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
18,'Abigail what is your DAMAGE',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
31,That song tho,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
39,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
44,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
49,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
50,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
52,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
177,'Riley J Dennis...why did you destroy ancient Rome?',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
243,degenerates like you belong on a cross,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
401,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
770,The Golden One looks like a hippie degenerate with that long hair.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
794,'drops glass' *could the jews be responsible?*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
872,Well said.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
883,You rock!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1438,conTRAPoints ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1714,lol George Soros,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1734,RILEY J. DENNIS... Why did you destroy Ancient Rome?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1779,Love you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1999,Love you :)),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2025,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2075,Degenerates like you belong on a cross.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2077,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2091,I love you <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2134,"'riley j dennis, why did you destroy ancient rome??'",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2349,"riley j dennis, why did you destroy ancient rome?",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
