,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
30,This is so good,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
50,6:35,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
127,Bash the Fash!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
202,"Social justice, drugs, and rock n roll",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
248,Well done,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
262,Hail Satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
300,This is so good!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
400,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
409,I ship it,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
432,You're a fucking genius.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
514,My queen is wide open.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
557,<3 Tabby <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
564,This was hilarious :D,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
615,I ship it,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
638,Hail satan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
807,This was so good ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
808,I love this video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1076,<3 i love this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1198,Tabby <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1226,RIP Bruce and Trixie,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1230,SO good.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1286,I ship it,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1332,Great video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1362,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1399,Tabby! ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1429,Hail Satan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1584,I ship it,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1616,I...ship it?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1718,bruce and trixie </3 RIP,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2240,HAIL SATAN!!! ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
