,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
47,"Love your Italian pronounciation. It's one of the most correct ones I've heard used by an American in a very long time.   Anyway I don't go here so whatever, my opinion is irrelevant.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
50,"Down with trump, hail satan",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
118,' Hail Satan' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
231,Hail Satan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
261,Hail Satan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
289,Hail Satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
318,DOWN WITH TRUMP HAIL SATAN DOWN WITH TRUMP HAIL SATAN DOWN WITH TRUMP HAIL SATAN,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
321,hail satan.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
356,Hail Satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
369,\m/   HAIL SATAN   \m/,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
428,HAIL SATAN!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
482,"Down with trump, hail Satan! :D",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
505,Hail Satan.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
537,Hail Satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
588,"I don't think Trump is a villainous prick, and I think the left is overreacting.  But for the sake making my point, let's assume that Trump is what you say.  I think he could only be a true danger to this nation in a state of total war.  Once you order a million people to their deaths in defense of a nation, all reason is forgotten and ethnic and social cleansing becomes palatable.  I doubt even Hitler would have killed the Jews en masse without World War 2 as a precursor.  It would have been unconscionable, a step too far.  War fucks up the human mind.  I suggest watching US-China relations closely, because tensions look set to increase dramatically, and a hot war with China is the vector that could turn someone like the Trump into someone like Hitler or Stalin.  If the initial salvo with China doesn't completely obliterate both nations, the 'total war' which follows could have grave consequences.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
626,Hail Satan.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
703,hail satan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
717,Hail Satan.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
741,Hail satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
744,Down with Trump! Hail Satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
790,Hail Satan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
809,Down with Trump. Hail Satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
811,Hail Satan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
