,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
6,Nice TV!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
37,Great video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
43,Love this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
61,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
88,I'm not a Fascist!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
111,Kek,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
113,"So long as fascists can't be open about being fascist there is no reason to call an idea fascist; there's a good chance it comes across as hyperbolic, even to someone like me. Either way, if you act less paranoid, you're less likely to be baited, and you are also less ideologically biased when making an assessment.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
152,Bravo!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
159,Scheisse,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
239,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
267,Na zdrowie [?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
300,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
301,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
392,Using irony to conceal the Truth. Lol!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
414,excellent video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
471,cringe,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
713,lol tranny,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
751,Shaun Andjen Lol,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
767,You don't know what Fascism is.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
909,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
911,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
987,Rip Heather Heyer [?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1013,THANK YOU SO MUCH FOR THIS!!!!!!!!!!!!!!!!!!!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1394,thats a dude,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1441,"also ... at 9:45 there was an incredibly ignorant comment made... you suggest that if a person literally said and believed that ' no white people are not superior to anyone. I just believe white people deserve to have a homeland and continue to exist, as do all other races'  than what they really mean is ' whites are superior ...'   what the fuck? they literally said the exact opposite. as someone who agrees completely with the first statement, yet disagrees emphatically with the idea that white people are somehow superior to any other race, I find that notion incredibly false and disengenuous for you to even suggest.   you're basically saying 'i don't care what you say, I don't care what you do, I don't care if I have evidence for it or not, if you think white nations have the right to exist, then you're a fascist'.   everyone who watched this had to see that... they had to have realised how incredibly ignorant the comment was, and how you suggested that you are able to literally read minds.   either that or you're seriously saying that anyone who thinks white people have the right to exist is a white supremacist. I also think black nations have the right to exist. so if thinking a nation/people have the right to continue exist makes you a 'supremacist ' then I suppose I'm a black supremacist too... and an Asian supremacist. and every other race supremacist.m haha so in actuality that would make me NOT An actual supremacist at all.  which is the truth.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1446,is this a tranny?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1484,"As a straight white male, who votes republican, i felt very racist that night. I felt for this woman and her children.  My poor broke ass tried to help her by buying her family an entire meal. #so racist.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1492,LOL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1521,I'm not a fascist.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1619,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1661,is this a joke??????,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2208,I am a fascist,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2391,Kek,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2452,I love you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2466,RIP Heather,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2502,great video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2624,gross,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2631,na zdrowie,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2848,Good video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2881,lol tranny,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3148,Degenerate,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3176,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3178,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3180,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3182,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3247,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3271,Great video.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3348,thank you for this video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3374,Love this!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3546,I'm in love.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3564,Subbed!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3595,Great video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3632,Are you a trap?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3778,Love you Contra!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3888,love this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3946,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3957,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3971,it ok to be white,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3980,Thank you thank you thank you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3981,Take back pepe for the left!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4101,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
