,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
28, *CHAPO*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
31,*SO MUCH FOR THE 'TOLERANT' JACOBINS*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
46,"in my sociology class, we were taught that postmodernity is defined as the individual identity being based in consumption rather than production",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
63,I want you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
75,Daddy!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
111,Bravo!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
190,[?] degenerates [?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
199,<< Peterson is a fascist. >>,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
288,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
292,WOW,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
371,Is this a tranny?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
387,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
393,Is this a dude?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
446,God Save The Lobster Queen!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
473,Channel 4 not the BBC,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
486,Excellent,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
513,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
521,it was a channel 4 interview not BBC,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
534,You are a genius.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
541,Long live the Lobster Queen!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
746,The Lobster Queen is dead. Long live the Queen.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
780,'So much for the Tolerant Jacobins!',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
824,so much for the tolerant jacobins.......  i......,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
882,This is amazing.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
932,are you trans?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
948,All Hail the Lobster Queen !,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1153,"Thanks, great video.  'Clock me, Amadeus' - another flawless gem!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1163,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1170,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1184,so good!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1221,So much for the tolerant Jacobins,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1225,Love you ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1267,genius!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1341,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1348,CLEAN YOUR ROOM,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1352,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1406,"_Hello, Dave!_",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1427,*so much for the tolerant Jacobins*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1437,'i just smoked a bunch of fuckin pcp',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1510,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1537,*'Sargon! You little goose.'*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1540,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1562,"Peterson fans = virgin losers. Basically societies outcasts, don't want them don't need them!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1575,'Hello Dave' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1582,PEPE SILVIA,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1613,THIS IS SO FUNNY,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1668,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1713,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1754,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1795,god save the lobster queen,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1823,Hello Dave;),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1831,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1833,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1865,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1869,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1872,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1946,Thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1949,I love you <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1959,QUEEN,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1964,*LONG LIVE THE QUEEN*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1986,THANKS DADDY ;P,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2049,this is a man pretending to be a woman,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2217,Clock me Amadeus,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2262,Is contrapoint a woman or a transgender? I dont care either way i just wana know.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2339,I lost it at 'so much for the tolerant jacobins',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2344,I LOVE YOU!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2409,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2411,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2413,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2415,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2519,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2534,GOD SAVE THE LOBSTER QUEEN,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2567,God Save the Lobster Queen!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2583,'So much for the tolerant Jacobins.' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2651,daddy,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2658,That ending...,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2659,'Daddy' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2673,what am i watching,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2759,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2796,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2818,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2915,The Bisexual Manicure!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3023,love it,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3027,This is brilliant.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3045,"'Clock me, Amadeus.'  ",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3062,God save the queen,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3162,"I absolutely love your style of flat/seemingly dry humor delivery. 'I only do youtube videos because I like mood lighting and set design' (paraphrased) I guess characters fall somewhere between those? Once, twice, three times a lobster lady. Killing it sister!",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
