,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
13,Milo Yiannopoulos is a paedo enabler,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
80,You are the chosen one.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
193,Fifty shades,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
290,You ARE the chosen one!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
533,god i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
654,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
