,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
120,The stalkers come for the red flesh,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
137,Best video ever!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
145,Bring me my smelling salts! :),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
174,Genius!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
245,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
252,'there could be Muslim Mexicans for all I know!',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
271,Are you vegan?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
321,Go vegan.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
475,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
478,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
480,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
482,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
485,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
494,I... I love this.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
567,Thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
576,You are. A genius.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
645,great video,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
653,"Hi! With regards to a massive general strike, I noticed you were in contact with the #EarthStrike movement in preparation for this video. It's a promising new organization that has been endorsed by many prominent leftists including Noam Chomsky and David Graeber. We're only a few weeks old right now, and we're still trying to get off the ground and spread our reach. To this end, you've built up an impressive following among our primary target demographic - young, leftist, and online - and an official shoutout from you, maybe in the video description, would mean a great deal. We're organizing three global protests for 2019, culminating in a general strike on September 27. Our mission statement, list of demands, and information about national and local campaigns can be found on our official website at URL",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
807,I love you contrapoints,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
855,But my fridge is cold!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
930,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
932,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1034,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1049,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1101,The stalkers come for the red flesh.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1132,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1237,Genius!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1284,*the stalkers come for the red flesh*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1335,Love you Natalie!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1351,I love you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1372,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1395,this is the best channel on youtube,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1425,I love you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1429,Go vegan !! [?][?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1477,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1512,"Amazing content, as always",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1576,'The world is not ending. It's just getting shittier.',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1693,Got a Prager U ad before this lmao,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1708,the stalkers come for the red flesh!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1725,i love u,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1829,Genius!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1912,I like you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2022,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2038,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2042,Lord I want the dark mother to swallow me,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2047,Brilliant!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2058,"Thank you, thank you, thank you.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2145,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2268,Great video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2428,'There could be muslim mexicans' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2459,#earthstrike,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2779,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2805,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2807,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2818,yeet,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2858,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2872,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2875,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2887,yes mommy,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2890,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2893,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2896,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2899,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2902,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2905,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2908,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2939,earth-strike.com,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2991,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2993,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3019,Go vegan!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3025,yes.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3089,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3383,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3385,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3394,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3396,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3398,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3399,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3400,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3401,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3402,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3403,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3405,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3406,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3407,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3409,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3411,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3412,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3413,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3414,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3416,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3418,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3419,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3420,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3421,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3423,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3425,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3426,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3427,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3428,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3606,BRING ME MY SMELLING SALTS,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3692,first,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3693,i love u ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3813,The inherent eroticism of the sea,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3935,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3957,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3959,the queen is back!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
3964,MOMMY?!?,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4025,go vegan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4133,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4162,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4192,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4235,Genius ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4246,YES,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4257,YES,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4334,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4336,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4338,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4340,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4342,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4344,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4406,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4411,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4413,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4542,#EARTHSTRIKE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4618,Love  you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4640,Yay!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4679,HELL YEAH,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4682,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4684,THE INHERENT EROTICISM OF THE SEA,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4690,Yeet!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4717,I love you! ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4720,YEET,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4723,MOMMY,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
4728,First,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
