"Text","Language","Source","Date"
"I miss scuffed contrapoints.","en","relativeinsight","2019-08-01T00:00:00"
"'And christian mingle' Im fuckin dead lol","en","relativeinsight","2019-08-01T00:00:00"
"My wife likes to look at women's butts. Almost everyone likes looking at butts. Butts are great","en","relativeinsight","2019-08-01T00:00:00"
"You know, it's like when Trump first got elected, and was just talking about a Muslim band, and people come out, in every state, in fucking droves, to protest. But later on, once the Muslim ban actually passed, people were like 'yawn. The last season of Game Of Thrones is about to start. Ain't nobody got time to protest'. Oh, and people were super concerned about 'kids in cages' for all of four minutes.( But at least now the Democrats are doing something about that.)   What I'm trying to say is: considering lawmakers continue to strip away reproductive and LGBT rights in the name of their iron-age myths. People need to get unbored with atheist activism real fucking quick.   This is why we continue to, and will always continue to, lose elections. No matter how 'woke' we like to think we are. There's nothing that screams privilege more then the option to be apathetic and not stand up. Anyone out there think the Civil Rights Movement was an optional, trending, passing fad? I don't think so. What does it take to keep people interested in the good fight?","en","relativeinsight","2019-08-01T00:00:00"
"8:11 had me rolling.  'Tedious Antelope, Slenderman, The Dragonborn, A Gay Nazi, The Tin Man, A Stilted Vampire, A Sumerian Monarch, A Fake University, and The Queen of the Internet.'","en","relativeinsight","2019-08-01T00:00:00"
"I've done it! Seen every single one of Natalie's Youtube vids","en","relativeinsight","2019-08-01T00:00:00"
"You were really handsome and boyish as a boy,  u should have stayed as a man.","en","relativeinsight","2019-08-01T00:00:00"
"So weird watching Contra's old videos. She really did change.","en","relativeinsight","2019-08-01T00:00:00"
"...i thought her joke was kinda funny lol","en","relativeinsight","2019-08-01T00:00:00"
"Oh my god, Natalie! Its been so long since I've watched this and it feels like a god damn other world.","en","relativeinsight","2019-08-01T00:00:00"
"I stopped watching the drunken peasants because they just kept shitting on feminism and women","en","relativeinsight","2019-08-01T00:00:00"
"Now you have taken U turn on Anita don't you!","en","relativeinsight","2019-08-01T00:00:00"
"Oh god, that ending. Natalie, you are perfect and beautiful, just as you said :3","en","relativeinsight","2019-08-01T00:00:00"
"The reason new atheism died out is because one of it's icons, Christopher Hitchens died.  If you think papers that come out of gender studies are 'scientific evidence' then you're just flat out delusional.  If you think feminist 'facts' are true then you haven't looked into the topics yourself.","en","relativeinsight","2019-08-01T00:00:00"
"i really needed to hear her speak","en","relativeinsight","2019-08-01T00:00:00"
"I like lady butts too!","en","relativeinsight","2019-08-01T00:00:00"
"Richard Dawkins said he was a feminist.","en","relativeinsight","2019-08-01T00:00:00"
"I feel like these men feel like they have rights or something to touch women's boobs whenever they feel like it","en","relativeinsight","2019-08-01T00:00:00"
"Seeing more of what TJ has been up to in recent years makes think about that time when I was 18 and he sent me a very banana gate-esque video and the untapped revenue stream it could have provided me, had I not deleted it.","en","relativeinsight","2019-08-01T00:00:00"
"also was this her first vid or were there priorm","en","relativeinsight","2019-08-01T00:00:00"
"I don't know know if it's sorta offensive, but I find both her older and newer voice very interesting in their own ways","en","relativeinsight","2019-08-01T00:00:00"
"As an atheist, I fucking hate every atheist community I've seen","en","relativeinsight","2019-08-01T00:00:00"
"I disagree, though. For most of the video games Anita Sarkeesian reviews you really don't have to 'nitpick' to see the open misogyny.","en","relativeinsight","2019-08-01T00:00:00"
"Kind of ironic to call feminists 'triggered' and whiny, while making about hundred videos about Anita Sarkeesian. But of course people like Sargon of Akkad 'don't care'.","en","relativeinsight","2019-08-01T00:00:00"
"Just the other day I was thinking about how radical atheists seemed to totally disappear from the cultural debate a few years ago. But I can honestly say I haven't even thought about Thunderfoot for more than half a decade. And I used to watch his stuff all the time back in the day before he started randomly attacking other science educators and generally acting like an entitled douche. I didn't even know he'd gone so totally off the deep end at feminism in his twilight years.","en","relativeinsight","2019-08-01T00:00:00"
"I'm a very masculine heterosexual man and I love Rebecca Watson's videos. Jus' sayin'...","en","relativeinsight","2019-08-01T00:00:00"
"Those ancient clips of Contrapoints, when mentioning her involvement in the early YouTube Atheists was that on a different channel?","en","relativeinsight","2019-08-01T00:00:00"
"just substitute the word females for the word 'feminists' and you'll get to the real crux of what these people are on about.","en","relativeinsight","2019-08-01T00:00:00"
"I think thunderfoot's neck gets thicker every time he records a video","en","relativeinsight","2019-08-01T00:00:00"
"'I'm not finding Jesus anywhere'","en","relativeinsight","2019-08-01T00:00:00"
"Christopher Hitchens always said that 'Neo-Atheism' was nonsense and didn't agree with the label.","en","relativeinsight","2019-08-01T00:00:00"
"most of these people are also people from the skeptic community if you wanna find the real athiest community search creators like jacklyn glenn cult of dusty telltale and cosmic skeptic there is also hilth but he talks mostly about flat earthers","en","relativeinsight","2019-08-01T00:00:00"
"Laci has moved on so much that she's now 'took the red pill'...","en","relativeinsight","2019-08-01T00:00:00"
