,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
33,That doll though,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
40,"Just, thank you ! <3",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
129,You inspire me :),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
185,Yes. Yes. Yes. Yes!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
335,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
343,that fucking doll...,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
366,Gender does not work that way,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
368,Gender does not work that way,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
395,You are beautiful.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
399,cool,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
434,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
579,Thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
616,'like a gay' (:,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
711,I like your voice.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
918,I LOVE YOU,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
944,I fucking love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
947,I love your top :),en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1206,... Wow.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1388,Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1493,I love you Contrapoints!!!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1603,It's just a simple scientific fact that there are only two genders,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1721,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1773,I love this video!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1868,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1879,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1958,cool!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2100,love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2153,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2378,thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2481,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2529,i love you!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2653,Love you contrapoints <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2687,It's just a simple scientific fact that there are only two genders.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
