,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
78,Go Vegan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
118,I'm getting clockwork orange vibes from this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
157,Curious George Kills the Rapist,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
512,'Curious George kills the rapist',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
682,LET'S TALK ABOUT WESTERN VALUES,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1001,CURIOUS GEORGE KILLS THE RAPIST,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1224,This is..... ART.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
