,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
33,Wolololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
116,'Snowflake Yahweh' [?],en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
336,i love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
361,Wololoooo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
432,'Professor Studied-the-Blade' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
471,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
482,Wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
521,Hilarious.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
540,"I love you, Natalie.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
561,I love corn dogs,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
566,Wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
570,He!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
690,Little benny and professor studied the blade,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
740,Wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
769,WOLOLO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
841,WOLOLOOOOO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
954,'Big dick special big boy' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
986,You rule,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1024,WOLOLOOO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1080,Love you ContraPoints!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1139,"Not even going to lie, rewatched several parts of this video for... reasons. Sexy and intelligent, Natalie is definitely relationship goals for me. Keep up the great videos that are both fun and informative.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1152,Woolooloo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1229,You're the best!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1271,WOLOLO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1273,WOLOLO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1289,Nice Proust reference.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1363,The west is the best.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1366,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1494,Wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1609,Wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1638,WOLOLO!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1686,wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1691,you're so beautiful <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1740,TITANIA,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1775,wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1776,I LOVE YOU.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1911,wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1921,~~i'M nOt LikE oTHeR GiRls~~,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1930,wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1992,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1999,wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2063,Wololo!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2109,WOLOLOLO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2198,I love you Contra!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2297,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2332,WOLOLO,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2349,I love you x,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2437,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2438,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2497,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2514,wololo!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2519,wololo,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2633,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2688,'Little Benny and Professor Studied-the-Blade' A+,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
2745,I love you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
