,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
18,i love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
65,Yet another white person assuming they know anything about East Asians and their motivations for their personal decisions.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
67,Yet another white person assuming they know anything about East Asians and their motivations for their personal decisions.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
68,Yet another white person assuming they know anything about East Asians and their motivations for their personal decisions.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
69,Yet another white person assuming they know anything about East Asians and their motivations for their personal decisions.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
70,Yet another white person assuming they know anything about East Asians and their motivations for their personal decisions.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
71,Yet another white person assuming they know anything about East Asians and their motivations for their personal decisions.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
73,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
93,Get out of my room mom!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
94,Starfish Night ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
140,JOURNEY,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
148,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
162,"If you still feel the same way about beauty after saying that beauty is a racist, sexist, ableist, transphobic, fatphobic social construct is it not possible that it isn't racist, sexist, ableist, transphobic, fatphobic social construct at all? That beauty is something else, that complaining about beauty as a racist, sexist, ableist, transphobic, fatphobic social construct is the wrong thing to do, that it makes no sense and why these critiques don't even convince you (the person making them). Now it just might be the leftist mindset, where the whole world is a racist, sexist, ableist, transphobic, fatphobic social construct, so you become immune to caring about these things, but if I were to genuinely believe something was a racist, sexist, ableist, transphobic, fatphobic social construct then I would stop endorsing it, but you don't, you instead put a great deal of value upon it. Beauty is beyond these petty leftist things, and deep down you know it.   Is a sunset beautiful?",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
164,"If you still feel the same way about beauty after saying that beauty is a racist, sexist, ableist, transphobic, fatphobic social construct is it not possible that it isn't racist, sexist, ableist, transphobic, fatphobic social construct at all? That beauty is something else, that complaining about beauty as a racist, sexist, ableist, transphobic, fatphobic social construct is the wrong thing to do, that it makes no sense and why these critiques don't even convince you (the person making them). Now it just might be the leftist mindset, where the whole world is a racist, sexist, ableist, transphobic, fatphobic social construct, so you become immune to caring about these things, but if I were to genuinely believe something was a racist, sexist, ableist, transphobic, fatphobic social construct then I would stop endorsing it, but you don't, you instead put a great deal of value upon it. Beauty is beyond these petty leftist things, and deep down you know it.   Is a sunset beautiful?",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
165,"If you still feel the same way about beauty after saying that beauty is a racist, sexist, ableist, transphobic, fatphobic social construct is it not possible that it isn't racist, sexist, ableist, transphobic, fatphobic social construct at all? That beauty is something else, that complaining about beauty as a racist, sexist, ableist, transphobic, fatphobic social construct is the wrong thing to do, that it makes no sense and why these critiques don't even convince you (the person making them). Now it just might be the leftist mindset, where the whole world is a racist, sexist, ableist, transphobic, fatphobic social construct, so you become immune to caring about these things, but if I were to genuinely believe something was a racist, sexist, ableist, transphobic, fatphobic social construct then I would stop endorsing it, but you don't, you instead put a great deal of value upon it. Beauty is beyond these petty leftist things, and deep down you know it.   Is a sunset beautiful?",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
166,"If you still feel the same way about beauty after saying that beauty is a racist, sexist, ableist, transphobic, fatphobic social construct is it not possible that it isn't racist, sexist, ableist, transphobic, fatphobic social construct at all? That beauty is something else, that complaining about beauty as a racist, sexist, ableist, transphobic, fatphobic social construct is the wrong thing to do, that it makes no sense and why these critiques don't even convince you (the person making them). Now it just might be the leftist mindset, where the whole world is a racist, sexist, ableist, transphobic, fatphobic social construct, so you become immune to caring about these things, but if I were to genuinely believe something was a racist, sexist, ableist, transphobic, fatphobic social construct then I would stop endorsing it, but you don't, you instead put a great deal of value upon it. Beauty is beyond these petty leftist things, and deep down you know it.   Is a sunset beautiful?",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
167,"If you still feel the same way about beauty after saying that beauty is a racist, sexist, ableist, transphobic, fatphobic social construct is it not possible that it isn't racist, sexist, ableist, transphobic, fatphobic social construct at all? That beauty is something else, that complaining about beauty as a racist, sexist, ableist, transphobic, fatphobic social construct is the wrong thing to do, that it makes no sense and why these critiques don't even convince you (the person making them). Now it just might be the leftist mindset, where the whole world is a racist, sexist, ableist, transphobic, fatphobic social construct, so you become immune to caring about these things, but if I were to genuinely believe something was a racist, sexist, ableist, transphobic, fatphobic social construct then I would stop endorsing it, but you don't, you instead put a great deal of value upon it. Beauty is beyond these petty leftist things, and deep down you know it.   Is a sunset beautiful?",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
201,Biological sequins ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
219,You invented beauty. Perfect angel. Choke me Mommy.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
317,wow,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
328,*do you want your face to be UNTONED?* ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
419,#notalldaddydoms,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
424,'They're biological sequins' ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
445,SOPHIE OMG,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
448,SOPHIE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
452,Sir this is a Dairy Queen,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
459,You are pretty <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
482,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
646,You're beautiful <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
661,Natalie I love you !,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
860,jesus christ.....,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
888,Fuck yeah SOPHIE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1152,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1154,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1183,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1218,CHOKE ME MOMMY,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1270,Hugs,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1301,Thanks for this,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1387,SOPHIE nice,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1393,CELINE. DION.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1439,"See, I'm not a bimbo, I'M A POET",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1516,"Great video Natalie, as always.",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1551,I love u,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1563,"As a trans guy, I get what you mean, but opposite...",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1569,*IM REAL WHEN I SHOP MY FACE*,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1594,Thank you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1598,I love you,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1611,yess SOPHIE!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1617,'Gay or gamer',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1679,URL,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1681,ma'am this is a wendy's,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1689,choke me mommy,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1707,SOPHIE,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1710,You look stunning,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1722,you look amazing :3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1723,choke me mommy,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1803,I'd smash,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1804,You look so good!,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1881,Phones live in a society,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1943,I needed this. Thank you.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
