,Text,Language,Source,Date,retweetR,spamR,similarR,followerR,ffratioR,numTweetR,organisationR,remove
89,Production value ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
123,Baltimore Maryland 2020,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
237,This is brilliant,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
238,Blaire White has left the chat.,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
297,'Bad things Justine- bad things!',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
346,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
351,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
355,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
357,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
359,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
361,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
363,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
365,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
367,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
369,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
371,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
373,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
375,nan,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
454,Tiffany Tumbles,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
477,Take a shot every time Baltimore says 'Tiffany Tumbles',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
536,"Namaste, bitch",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
565,"'So tell me, Tiffany Tumbles...'",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
639,Brilliant,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
773,'And fear is what freedom is all about.',en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
795,Bruh,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
859,***BLAIRE WHITE IS QUAKING***,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
902,Someone should send this to kalvin garrah ,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
976,i love you <3,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
984,"Love you, Natalie ",en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
1001,The Torquemada of the trender inquisition! lol,en,relativeinsight,2019-08-01T00:00:00,0,0,1,0,0,0,0,1
